#{"t_start": 1765962115.2148309, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,258,3.609762
4.0,316,4.691628
2.0,223,5.348592
4.0,326,6.495506
1.0,199,7.059052
2.0,228,7.716949
1.0,180,8.229337
4.0,340,9.445281
1.0,210,10.158345
2.0,242,10.990393
4.0,329,12.292424
3.0,272,13.357843
1.0,195,13.997483
5.0,341,15.449588
1.0,203,16.328429
2.0,256,17.766713
2.0,237,18.97166
1.0,203,19.835059
3.0,262,21.020467
2.0,259,22.041899
1.0,172,22.596167
2.0,237,23.455221
0.0,146,23.850678
4.0,310,25.138644
2.0,235,25.906599
1.0,172,26.571169
3.0,249,27.692091
4.0,327,29.083963
0.0,163,29.531041
2.0,229,30.473363
3.0,249,31.496906
3.0,273,32.609879
0.0,157,33.068594
0.0,157,33.566492
3.0,263,34.497242
1.0,209,35.119661
2.0,213,35.858544
3.0,276,36.930409
1.0,178,37.506221
1.0,218,38.193211
2.0,218,38.941287
1.0,194,39.557409
3.0,257,40.471549
1.0,232,41.254838
2.0,236,42.063214
2.0,244,42.980924
1.0,191,43.737453
2.0,222,44.566869
